StartTime	 EndTime	 SegID	 #Layers	 LayerID	 Bitrate	 Throughput	 Buffer	 StreamID	 DownloadTime
0.044	 0.984	 0	 1	 0	 795	 43580	 1.0	 5	 940
0.984	 1.012	 1	 1	 0	 935	 33481	 2.0	 7	 28
1.012	 1.038	 2	 1	 0	 1104	 41539	 3.0	 9	 27
1.038	 1.074	 3	 1	 0	 1202	 33648	 4.0	 11	 36
1.074	 1.126	 4	 1	 0	 1311	 25300	 5.0	 13	 52
1.126	 1.174	 5	 1	 0	 1311	 27390	 6.0	 15	 48
1.174	 1.235	 6	 1	 0	 1620	 26562	 7.0	 17	 61
1.235	 1.302	 7	 1	 0	 1776	 26508	 8.0	 19	 67
1.302	 1.342	 8	 1	 0	 1114	 28041	 9.0	 21	 40
1.342	 1.383	 9	 1	 0	 980	 24290	 10.0	 23	 41
1.383	 1.399	 10	 1	 0	 428	 26637	 11.0	 25	 16
1.399	 1.423	 11	 1	 0	 729	 29873	 12.0	 27	 24
1.423	 1.454	 12	 1	 0	 795	 25482	 13.0	 29	 31
1.455	 1.490	 13	 1	 0	 935	 26008	 14.0	 31	 36
1.491	 1.531	 14	 1	 0	 1104	 27597	 15.0	 33	 40
1.531	 1.575	 15	 3	 0	 1202	 27409	 16.0	 35	 44
1.575	 1.618	 15	 3	 1	 1097	 25283	 15.9	 37	 43
1.618	 2.183	 15	 3	 2	 17856	 31650	 15.3	 39	 564
2.183	 2.207	 16	 3	 0	 1311	 54266	 16.3	 41	 24
2.207	 2.228	 16	 3	 1	 1197	 58109	 16.3	 43	 21
2.228	 2.594	 16	 3	 2	 19754	 53912	 15.9	 45	 366
2.594	 2.619	 17	 4	 0	 1311	 53867	 16.9	 47	 24
2.619	 2.639	 17	 4	 1	 1173	 57171	 16.9	 49	 21
2.639	 3.063	 17	 4	 2	 21725	 51262	 16.5	 51	 424
3.063	 3.484	 17	 4	 3	 20387	 48441	 16.0	 53	 421
3.484	 3.518	 18	 3	 0	 1620	 47821	 17.0	 55	 34
3.518	 3.547	 18	 3	 1	 1393	 47583	 17.0	 57	 29
3.547	 4.056	 18	 3	 2	 25374	 49889	 16.5	 59	 509
4.056	 4.090	 19	 3	 0	 1776	 52035	 17.4	 61	 34
4.090	 4.128	 19	 3	 1	 1494	 39174	 17.4	 63	 38
4.128	 4.764	 19	 3	 2	 28128	 44275	 16.8	 65	 635
4.764	 4.791	 20	 3	 0	 1114	 41401	 17.7	 67	 27
4.791	 4.814	 20	 3	 1	 886	 37626	 17.7	 69	 24
4.814	 5.396	 20	 3	 2	 24485	 42132	 17.1	 71	 581
5.396	 5.427	 21	 3	 0	 980	 31973	 18.1	 73	 31
5.427	 5.439	 21	 3	 1	 604	 47681	 18.1	 75	 13
5.440	 5.970	 21	 3	 2	 21491	 40483	 17.6	 77	 531
5.970	 5.979	 22	 3	 0	 428	 49381	 18.6	 79	 9
5.979	 5.990	 22	 3	 1	 427	 37678	 18.5	 81	 11
5.990	 6.546	 22	 3	 2	 16399	 29498	 18.0	 83	 556
6.547	 6.574	 23	 3	 0	 729	 26434	 19.0	 85	 28
6.574	 6.591	 23	 3	 1	 480	 29061	 18.9	 87	 17
6.591	 7.147	 23	 3	 2	 15460	 27806	 18.4	 89	 556
7.147	 7.171	 24	 3	 0	 795	 33497	 19.4	 91	 24
7.171	 7.190	 24	 3	 1	 722	 37122	 19.3	 93	 19
7.191	 7.519	 24	 3	 2	 11913	 36298	 19.0	 95	 328
7.519	 7.546	 25	 4	 0	 935	 34021	 20.0	 97	 27
7.546	 7.570	 25	 4	 1	 862	 36298	 20.0	 99	 24
7.570	 7.962	 25	 4	 2	 14086	 35916	 19.6	 101	 392
7.962	 8.283	 25	 4	 3	 14563	 45465	 19.2	 103	 320
8.283	 8.304	 26	 4	 0	 1104	 53077	 20.2	 105	 21
8.304	 8.323	 26	 4	 1	 1030	 52919	 20.2	 107	 20
8.323	 8.632	 26	 4	 2	 16053	 51962	 19.9	 109	 309
8.632	 8.934	 26	 4	 3	 15664	 51824	 19.6	 111	 302
8.935	 8.957	 27	 4	 0	 1202	 53089	 20.6	 113	 23
8.957	 8.983	 27	 4	 1	 1097	 43323	 20.5	 115	 25
8.983	 9.443	 27	 4	 2	 17856	 38842	 20.1	 117	 460
9.443	 9.963	 27	 4	 3	 17426	 33507	 19.6	 119	 520
9.963	 10.003	 28	 3	 0	 1311	 32805	 20.5	 121	 40
10.003	 10.038	 28	 3	 1	 1197	 33804	 20.5	 123	 35
