StartTime	 SegID	 #Layers	 LayerID	 Bitrate	 Throughput	 Buffer	 StreamID	 DownloadTime
0.004	 0	 1	 0	 1500	 37299.8	 1000.0	 5	 41
0.046	 1	 1	 0	 1500	 44475.2	 2000.0	 7	 34
0.080	 2	 1	 0	 1500	 92601.3	 3000.0	 9	 17
0.097	 3	 1	 0	 1500	 92266.7	 4000.0	 11	 17
0.113	 4	 1	 0	 1500	 82360.4	 5000.0	 13	 19
0.132	 5	 3	 0	 1500	 85238.4	 5982.0	 15	 18
0.150	 5	 3	 1	 2000	 85568.6	 5958.1	 17	 24
0.174	 5	 3	 2	 3500	 84219.2	 5915.6	 19	 43
0.216	 6	 3	 0	 1500	 85020.8	 6897.6	 21	 18
0.234	 6	 3	 1	 2000	 81952.8	 6872.6	 23	 25
0.259	 6	 3	 2	 3500	 82281.5	 6829.1	 25	 44
0.303	 7	 3	 0	 1500	 74123.2	 7808.4	 27	 21
0.324	 7	 3	 1	 2000	 78290.5	 7782.2	 29	 26
0.350	 7	 3	 2	 3500	 73572.8	 7733.6	 31	 49
0.399	 8	 3	 0	 1500	 77310.3	 8713.8	 33	 20
0.419	 8	 3	 1	 2000	 69921.5	 8684.5	 35	 29
0.448	 8	 3	 2	 3500	 75309.3	 8636.9	 37	 48
0.495	 9	 3	 0	 1500	 79037.5	 9617.6	 39	 19
0.515	 9	 3	 1	 2000	 71801.7	 9589.0	 41	 29
0.543	 9	 3	 2	 3500	 76985.5	 9542.5	 43	 47
0.590	 10	 3	 0	 1500	 81880.6	 10523.8	 45	 19
0.609	 10	 3	 1	 2000	 85629.5	 10499.9	 47	 24
0.633	 10	 3	 2	 3500	 64315.0	 10444.3	 49	 56
0.688	 11	 3	 0	 1500	 80499.4	 11425.2	 51	 19
0.707	 11	 3	 1	 2000	 79217.1	 11399.4	 53	 26
0.733	 11	 3	 2	 3500	 78389.8	 11353.7	 55	 46
0.779	 12	 3	 0	 1500	 76748.7	 12333.7	 57	 20
0.799	 12	 3	 1	 2000	 80827.2	 12308.4	 59	 25
0.824	 12	 3	 2	 3500	 81165.9	 12264.3	 61	 44
0.869	 13	 3	 0	 1500	 77604.1	 13244.6	 63	 20
